"","f_zip","num_facilities","county","region","zip_CMS_overall_rating","zip_CMP_count","zip_DPNA_count","zip_N2009_Abuse","zip_N2009_Admin","zip_N2009_Care","zip_N2009_Environ","zip_N2009_Nutri","zip_N2009_Rights","zip_N2009_Staff","zip_N2009_Total","zip_N2010_Abuse","zip_N2010_Admin","zip_N2010_Care","zip_N2010_Environ","zip_N2010_Nutri","zip_N2010_Rights","zip_N2010_Staff","zip_N2010_Total","zip_N2011_Abuse","zip_N2011_Admin","zip_N2011_Care","zip_N2011_Environ","zip_N2011_Nutri","zip_N2011_Rights","zip_N2011_Staff","zip_N2011_Total","zip_N2012_Abuse","zip_N2012_Admin","zip_N2012_Care","zip_N2012_Environ","zip_N2012_Nutri","zip_N2012_Rights","zip_N2012_Staff","zip_N2012_Total","zip_N2013_Abuse","zip_N2013_Admin","zip_N2013_Care","zip_N2013_Environ","zip_N2013_Nutri","zip_N2013_Rights","zip_N2013_Staff","zip_N2013_Total","zip_PCT_ADMIN","zip_PCT_CAPITAL","zip_PCT_DIRECT","zip_PCT_OCARE","zip_abuse_current","zip_abuse_previous","zip_abuse_prior","zip_abuse_tot","zip_activities_of_daily_living","zip_admin_current","zip_admin_previous","zip_admin_prior","zip_admin_tot","zip_afam","zip_aid_hprd","zip_all_current","zip_all_previous","zip_all_prior","zip_all_tot","zip_asan","zip_benefits","zip_catheter","zip_caucasn","zip_class_AA_count","zip_class_A_count","zip_class_B_count","zip_depeat","zip_depsum","zip_deptoil","zip_deptran","zip_env_current","zip_env_previous","zip_env_prior","zip_env_tot","zip_ex_total","zip_fall","zip_federal_penalty_amount","zip_high_risk_pressure_sores","zip_hispan","zip_less45","zip_long_antipsychotic","zip_long_stay_pain","zip_ls_current","zip_ls_previous","zip_ls_prior","zip_ls_tot","zip_lvn_hprd","zip_nativ","zip_net_income_03","zip_net_income_04","zip_net_income_05","zip_net_income_06","zip_net_income_07","zip_net_income_08","zip_net_income_09","zip_net_income_10","zip_net_income_11","zip_net_income_current","zip_netincomemargin_03","zip_netincomemargin_04","zip_netincomemargin_05","zip_netincomemargin_06","zip_netincomemargin_07","zip_netincomemargin_08","zip_netincomemargin_09","zip_netincomemargin_10","zip_netincomemargin_11","zip_netincomemargin_current","zip_nhoverall_rating","zip_numbeds","zip_nursing_turnover","zip_nut_current","zip_nut_previous","zip_nut_prior","zip_nut_tot","zip_occup_rate","zip_othrace","zip_over85","zip_pct_behv","zip_pct_exsp","zip_pct_imp","zip_pct_mcal","zip_pct_mcare","zip_pct_other","zip_pct_phys","zip_pct_reh","zip_pct_self","zip_pctfem","zip_pctmale","zip_pharm_current","zip_pharm_previous","zip_pharm_prior","zip_pharm_tot","zip_pt_hprd","zip_qc_current","zip_qc_previous","zip_qc_prior","zip_qc_rating","zip_qc_tot","zip_qualityoffacility_rating","zip_ra_current","zip_ra_previous","zip_ra_prior","zip_ra_tot","zip_restraints","zip_rev_mcal","zip_rev_mcare","zip_rev_other","zip_rev_self","zip_rr_current","zip_rr_previous","zip_rr_prior","zip_rr_tot","zip_short_antipsychotic","zip_short_stay_pain","zip_short_stay_pressure_sores","zip_srn_hprd","zip_staffingrating","zip_state_penalty_amount","zip_tot_hprd","zip_total_abuse","zip_total_admin","zip_total_care","zip_total_environ","zip_total_nutri","zip_total_rights","zip_total_staff","zip_total_total","zip_urinary_tract_infection","zip_wph_admin","zip_wph_aide","zip_wph_lic","zip_yr45to64","zip_yr65to84","zip_cmswatchlist","zip_accred","zip_campaignexcellence","zip_aids","zip_alzheimers","zip_chain_facs","zip_num_freestanding","zip_num_hospital","zip_hospice","zip_icf","zip_mcare_days_high","zip_mcare_days_low","zip_mental_health","zip_has_mlrc","zip_for_profit","zip_non_profit","zip_govt_owned","zip_mcal_payment","zip_mcare_payment","zip_private_pay","zip_residential","zip_rehabilitation","zip_substance_abuse","zip_ventilator","zippop","sd1_district","sd1_pct","sd1_num","sd2_district","sd2_pct","sd2_num","sd3_district","sd3_pct","sd3_num","ad1_district","ad1_pct","ad1_num","ad2_district","ad2_pct","ad2_num","ad3_district","ad3_pct","ad3_num","ad4_district","ad4_pct","ad4_num","ad5_district","ad5_pct","ad5_num","cd1_district","cd1_pct","cd1_num","cd2_district","cd2_pct","cd2_num","cd3_district","cd3_pct","cd3_num","cd4_district","cd4_pct","cd4_num","justzip","num_beds","num_emtpy_beds","total_beds","num_empty_beds"
"482","95210
(38.02105256200048, -121.2972299329997)",2,"San Joaquin","Golden Empire & North San Joaquin",3.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,4,2,5,1,0.5,0.5,0,13,4,5.5,10.5,2,1.5,1,0,24.5,22,10.6,53.2,14.2,1,0.5,0.5,2,19.7,1.5,2.5,0.5,4.5,13.5,2.3,25,17.5,16,58.5,11,5.7,4.1,62.5,0,2.5,3,19.5,20.5,22.5,20,1.5,0,0,1.5,269,0,0,11.5,9,3.5,12,19.9,12,7,8.5,27.5,0.8,0,-4015,-181951.5,-134813.5,309046.5,305205.5,708119.5,1010412.5,349178.5,140160,-365417.5,-1.4,-3.7,-2.8,1.1,3.3,7.1,7.9,2.1,1.1,-4.4,2,109.5,33,1,1,0.5,2.5,91,13,21.5,1.2,26.4,6.6,73.1,10.8,12.2,41.4,24.5,3.9,55,45,0.5,1.5,1.5,3.5,0.1,4.5,3.5,2.5,2.5,10.5,2,0,1,1,2,0.6,176.6,649.5,280.6,222.9,3,0.5,1,4.5,0.5,31.4,1.5,0.5,2.5,48000,3.6,8,7.5,16,3,2,1.5,0,38,6.2,45.3,11.9,28.5,29.5,45.5,0,0,1,0,0,1,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,13015,5,"100%",13015,NA,"",NA,NA,"",NA,13,"100%",13015,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,9,"100%",13015,NA,"",NA,NA,"",NA,NA,"",NA,"95210",19.71,19.71,219,19.71
"483","95240
(38.12333399200048, -121.26062760599967)",4,"San Joaquin","Golden Empire & North San Joaquin",4,0,0,0,0,0.8,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.5,0,0.3,0,0,0,0,0.8,1.5,0,1.5,0.5,0,0,0,3.5,1.8,0.8,3,0,0,0,0,5.5,23.1,8.9,53.3,14.6,0.8,0.3,1,2,12.9,0.3,1,0.8,2,2,2.6,18,15.8,23.8,57.5,3.3,4.4,0.6,87.8,0,0.5,4,12.5,17.3,20.8,18.5,0.8,0.8,1.3,2.8,283.4,1.9,0,3.8,9,0.8,12.2,2.8,9,11,10.5,30.5,0.9,0.3,37953.8,20752,122890.8,172078.8,58222.3,219360.3,440123.3,577811.8,660351.3,464564.3,1.2,2.4,4.2,3.8,3.8,2.6,3,5.3,10,7.5,3.3,80.5,72.6,1,0.5,1.5,3,88,6.8,42,0.2,25,4.2,62.1,23.9,5.6,50.6,20.1,8.5,66.3,33.8,1.8,0.3,1.3,3.3,0.2,3.5,1,4.3,4.5,8.8,3.3,0,0,0.8,0.8,9,185.3,631.9,359.1,252,1,1,2.5,4.5,1.9,10.4,1,0.5,2.5,12600,4,3.8,0.8,5.5,0.5,0,0,0,10.5,8.5,53,11.2,26.8,9.3,48,0,0,3,0,1,3,4,0,0,0,1,3,0,0,4,0,0,4,4,0,0,0,0,0,17682,5,"100%",17682,NA,"",NA,NA,"",NA,9,"82.3%",14554,12,"11%",1942,13,"6.7%",1186,NA,"",NA,NA,"",NA,9,"100%",17682,NA,"",NA,NA,"",NA,NA,"",NA,"95240",38.64,38.64,322,38.64
"484","95242
(38.12750085200048, -121.30681935999968)",2,"San Joaquin","Golden Empire & North San Joaquin",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,2,0.5,0,0,0,4.5,2.5,1,1,0,0,0,0,4.5,18.4,9.8,56.6,15.2,0.5,0.5,0,1,9.7,1,0,1.5,2.5,1.5,2.9,23,14,20,57,4.5,4.3,0.5,85.5,0,0,1.5,6,7,10,5.5,1.5,0.5,0,2,231.2,1.4,0,5.1,8.5,1,8.3,3.2,11.5,7,8.5,27,0.8,0,189880.5,302984.5,405740,240605.5,204230.5,278651.5,367124.5,471441.5,633442.5,177134,5.2,7,8.8,4.9,4,6,7.1,8.1,9.1,3.4,3.5,112,63.4,1,0.5,2,3.5,87,8.5,48,0,25.9,2.2,55.5,15.8,4.2,49.5,22.5,24.4,73,27,1.5,1.5,2,5,0.2,4,1.5,4.5,5,10,2,0.5,0.5,1,2,0.9,165.3,536.3,329.2,203.2,1.5,2,0.5,4,1,10.9,0,0.5,3,1000,4.2,4,1.5,3,0.5,0,0,0,9,6.3,48.3,10.9,27.5,6.5,44.5,0,0,2,0,0,1,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,14435,5,"100%",14435,NA,"",NA,NA,"",NA,9,"92.7%",13378,13,"7.3%",1057,NA,"",NA,NA,"",NA,NA,"",NA,9,"100%",14435,NA,"",NA,NA,"",NA,NA,"",NA,"95242",29.12,29.12,224,29.12
"485","95249
(38.191363743000466, -120.66105595299967)",1,"Calaveras","Golden Empire & North San Joaquin",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,11,0,0,2,0,19,20.6,10.9,54.9,13.6,0,1,0,1,13.2,0,2,0,2,0,2.9,15,18,15,48,0,6,0,96,0,0,0,0,1,1,1,1,0,2,3,279,1.7,0,8.6,2,0,7.1,15.3,5,9,9,23,0.6,0,-136731,9873,569896,152899,366865,639431,756986,1027744,1225097,381118,-3,0.2,9,2.3,4.9,8.2,8.9,10.9,12.5,4.3,4,99,35.4,1,2,0,3,85,4,44,0,38.6,3.4,52.2,24.9,15,34.1,23.9,7.8,73,27,0,2,1,3,0.1,5,2,3,5,10,3,1,0,0,1,0,187.5,550.4,254.2,229.1,2,0,0,2,1.1,25,0.7,0.5,2,0,4,5,1,11,0,0,2,0,19,1.7,43.9,12.7,27,7,49,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2197,8,"100%",2197,NA,"",NA,NA,"",NA,5,"100%",2197,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,4,"100%",2197,NA,"",NA,NA,"",NA,NA,"",NA,"95249",14.85,14.85,99,14.85
"486","95301
(37.34675115900046, -120.60008683599972)",1,"Merced","Golden Empire & North San Joaquin",4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,8,0,0,2,1,0,3,0,6,23.6,12.8,50.7,12.9,0,1,0,1,7.3,1,0,0,1,4,2.3,14,13,5,32,2,5.8,1.5,74,0,0,0,12,16,16,18,1,0,0,1,310.4,1.7,0,2.9,20,2,16.7,9.8,6,7,5,18,0.8,0,-42245,-107785,90744,439895,522265,819379,380447,198813,1321191,592683,-0.6,-1.4,1,4.7,5.2,7.5,3.2,1.7,11.1,5.3,4,99,38.8,1,1,0,2,94,20,41,3.5,22.1,4.4,56.2,30.2,8.3,42.5,27.4,5.3,67,33,1,0,0,1,0.2,2,1,0,4,3,4,0,1,0,1,0,202.1,505.5,601.4,212.8,2,2,0,4,1.1,20,1.9,0.5,2,0,3.6,0,0,6,1,0,9,0,16,3.6,58.5,11.3,32.3,13,44,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,14831,12,"100%",14831,NA,"",NA,NA,"",NA,21,"100%",14831,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,16,"100%",14831,NA,"",NA,NA,"",NA,NA,"",NA,"95301",5.94,5.94,99,5.94
"487","95307
(37.58858113000048, -120.95151956999968)",1,"Stanislaus","Golden Empire & North San Joaquin",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,4,0,0,0,0,0,0,0,0,23.9,8.1,47.9,20.2,0,0,0,0,NA,0,0,0,0,3,2.4,15,17,11,43,0,4.5,0,97,0,0,0,34,40,47,39,1,2,1,4,190.4,0,0,NA,15,8,9.1,NA,10,10,10,30,1,0,29430,8822,61889,-62459,36272,-40095,2417,124816,282301,229245,1.4,0.4,2.3,-2.4,1.3,-1.4,0.1,4.1,9,7.4,5,46,48.4,1,1,0,2,89,0,38,0,36.6,12.2,93.6,3.4,0,48.8,2.4,3,80,20,1,2,0,3,0,2,1,0,5,3,5,0,0,0,0,0,191.7,554.8,NA,233.3,0,1,0,1,NA,NA,NA,0.2,2,0,3.7,0,2,2,0,0,1,0,5,11.4,36.7,10.4,20.7,13,41,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,16588,12,"87.8%",14559,8,"12.2%",2029,NA,"",NA,21,"93.6%",15530,12,"6.4%",1058,NA,"",NA,NA,"",NA,NA,"",NA,10,"100%",16588,NA,"",NA,NA,"",NA,NA,"",NA,"95307",5.06,5.06,46,5.06
"488","95334
(37.37999045000049, -120.72347630199971)",1,"Merced","Golden Empire & North San Joaquin",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,2.1,51.8,19.9,0,0,1,1,NA,0,0,0,0,3,2.7,5,8,13,26,3,6.1,0,94,0,0,0,34,39,41,41,1,1,1,3,206.8,0,0,NA,3,6,19.4,NA,3,6,5,14,1.1,0,25382,92845,-26298,135141,176742,-24389,-196859,-154269,90206,23405,1.9,5.6,-1.7,6.6,8.9,-1.2,-9.6,-7.5,4.1,1,5,33,20,0,0,2,2,99,0,56,0,21.9,3.1,83.6,0,1.1,75,0,15.3,75,25,0,0,2,2,NA,1,1,2,4,4,5,0,0,0,0,3.1,191.3,NA,190.3,211.8,0,0,0,0,NA,NA,NA,0.2,2,0,3.9,0,0,1,0,0,0,0,1,0,33.5,12.5,25.4,9,29,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5005,12,"100%",5005,NA,"",NA,NA,"",NA,21,"100%",5005,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,16,"100%",5005,NA,"",NA,NA,"",NA,NA,"",NA,"95334",0.33,0.33,33,0.33
"489","95336
(37.81319184400047, -121.21355816199969)",2,"San Joaquin","Golden Empire & North San Joaquin",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.5,1,1.5,0,0,0,0,3,1.5,5.5,9,0.5,0,3.5,0,20,24.4,4.5,56.7,14.4,0.5,0.5,0.5,1.5,18.4,1.5,1,2,4.5,5.5,2.2,24,19.5,27,70.5,9,7.1,3.5,73.5,0,0,2,11,21,35,16,1.5,0,3,4.5,229.8,5.4,0,4.8,12,0.5,10.1,8.4,9,10,10.5,29.5,0.7,0,-517181.5,-331032.5,-39263.5,299980,374517,-514094.5,380256,-159276,-224179.5,1149010,-6.6,-3.2,0.5,2.7,1.9,-6.2,3,-2.8,1.3,12.6,1.5,137.5,61.4,2,1.5,1.5,5,87,12,40,3.3,34.2,3,72.8,15.4,5.7,40.1,19.5,6.2,72.5,27.5,1.5,0.5,2.5,4.5,0.1,4.5,4.5,5,4,14,1.5,1.5,0.5,1,3,0.7,192.1,579.5,337.3,214.8,2,1,1,4,0.8,22,0,0.5,2.5,2000,3.4,3,7.5,10.5,0.5,0,3.5,0,25,10,51.5,11.6,28,8,51.5,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,18428,5,"100%",18428,NA,"",NA,NA,"",NA,12,"99.4%",18318,13,"0.6%",110,NA,"",NA,NA,"",NA,NA,"",NA,10,"90%",16586,9,"10%",1842,NA,"",NA,NA,"",NA,"95336",35.75,35.75,275,35.75
"490","95337
(37.78064340800046, -121.2331671719997)",1,"San Joaquin","Golden Empire & North San Joaquin",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,NA,0,0,1,1,16,3.1,3,0,7,10,3,NA,NA,62,0,0,0,83,78,75,75,0,0,0,0,NA,NA,0,NA,14,5,NA,NA,0,0,2,2,1,0,-3425095,2352119,NA,NA,NA,NA,NA,NA,NA,NA,-11.8,5.7,NA,NA,NA,NA,NA,NA,NA,NA,5,38,NA,1,0,1,2,71,19,2,0,91.7,0,50.7,43.7,5.7,8.3,0,NA,61,39,1,0,1,2,0.2,1,0,1,3,2,5,0,0,1,1,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,3.8,5,0,7.9,0,0,1,0,0,0,0,1,NA,NA,NA,NA,47,46,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,12544,5,"100%",12544,NA,"",NA,NA,"",NA,12,"100%",12544,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,10,"100%",12544,NA,"",NA,NA,"",NA,NA,"",NA,"95337",11.02,11.02,38,11.02
"491","95338
(37.47888277600049, -119.9076797939997)",1,"Mariposa","Midcoast, Central & Inland",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,0,0,1,1,0,4.2,6,4,8,18,0,4.5,NA,100,0,0,0,0,0,0,0,1,0,0,1,NA,NA,0,NA,0,0,NA,NA,4,4,3,11,0.6,0,883317,433087,-193748,244474,880629,-83164,-170494,-943103,147527,NA,9.3,3.9,-1.6,1.9,6.4,-0.6,-1.2,-6.7,0.9,NA,5,16,NA,0,0,1,1,99,0,47,0,25,25,89.4,0,10.6,50,0,NA,62,38,1,0,1,2,NA,0,0,2,5,2,5,0,0,0,0,NA,310.2,NA,146.5,NA,0,0,0,0,NA,NA,NA,1.1,5,0,5.9,0,0,0,0,0,0,0,0,NA,36.2,13,30.8,16,37,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,6462,8,"100%",6462,NA,"",NA,NA,"",NA,5,"100%",6462,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,4,"100%",6462,NA,"",NA,NA,"",NA,NA,"",NA,"95338",0.16,0.16,16,0.16
"492","95340
(37.315063034000445, -120.46134646499968)",2,"Merced","Golden Empire & North San Joaquin",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,25.9,9.2,50.4,14.6,0,1,0.5,1.5,16.7,0,0.5,0,0.5,6,2.4,12.5,17,12.5,42,3,5.9,2,60,0,0,0,15,19,23,19,1,1.5,1.5,4,240.1,2.7,0,8.5,24.5,3,9,14.4,9,8,7,24,0.8,1,-23553,-1812.5,158897.5,-84726,379657,176621,293021,396353.5,417963,253679.5,-0.4,0.2,4.3,-1.4,9.2,3.8,5,6.4,6.7,4.2,4.5,73.5,38.9,1,1,1,3,90,30,48,0,25.6,4.4,78.3,16.5,1.8,51.1,19,3.5,65,35,0.5,1,0,1.5,0.1,1,1.5,1.5,3.5,4,4.5,0,1,0.5,1.5,1.8,177.1,604.2,322.2,208.3,0,1.5,0.5,2,0,27.2,2.2,0.4,2.5,0,3.5,0,1,2,0,0,0.5,0,3.5,4.6,48,10.9,27.2,6,43,0,0,2,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,16186,12,"100%",16186,NA,"",NA,NA,"",NA,21,"100%",16186,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,16,"100%",16186,NA,"",NA,NA,"",NA,NA,"",NA,"95340",14.7,14.7,147,14.7
"493","95341
(37.28161083700047, -120.47784879499972)",1,"Merced","Golden Empire & North San Joaquin",5,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,1,0,0,0,0,3,22.8,10.6,49.4,17.3,0,0,0,0,0,0,0,0,0,10,1.9,6,6,10,22,11,6.1,0,50,0,0,0,0,0,0,0,0,0,0,0,163.4,0,0,NA,25,44,NA,0,6,6,7,19,0.5,1,237896,-324712,478699,128947,467425,205599,287919,321902,99554,187428,5.9,-9,11.1,3.2,12,4.5,5.8,5.9,1.8,3.2,5,96,20.4,0,0,2,2,98,28,0,39.8,6.5,12.9,0,0,99.8,40.9,0,0.2,33,67,0,0,0,0,NA,0,0,1,5,1,5,0,0,0,0,0,NA,NA,168.7,217,0,0,0,0,NA,0,0,0.1,1,0,2.5,1,2,4,0,0,2,0,9,0,55.6,10.7,24.6,55,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,9280,12,"100%",9280,NA,"",NA,NA,"",NA,21,"100%",9280,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,16,"100%",9280,NA,"",NA,NA,"",NA,NA,"",NA,"95341",1.92,1.92,96,1.92
"494","95348
(37.32844130500047, -120.49543737799968)",2,"Merced","Golden Empire & North San Joaquin",5,0,0,0.5,0,0.5,0,0,1,0,2,0,0.5,5.5,0,0,1.5,0,7.5,0.5,0,0,0,0,0.5,0,1,0,0,2.5,0,0,0.5,0,3,0.5,0.5,0.5,0,0.5,0.5,0,2.5,24,7.8,54.5,13.8,0,0,0,0,10.9,0.5,0,0,0.5,8,2.5,9,9,7.5,25.5,2,4.9,2.4,69.5,0,0,1,16.5,25.5,29,30,1,0.5,0.5,2,216.5,3.9,0,3,20,0,14.5,0,6,6,5,17,0.6,0,18674.5,266493,911617.5,674154,534365,863576.5,1310321,885121.5,867427,767336.5,-1,2.3,12.5,9.2,7.5,11.1,15.6,11,10.7,9.8,4.5,96,30.1,0.5,1,1,2.5,90.5,20.5,40.5,1.5,25,2.9,71.6,15.1,9.2,53.5,17.1,4.1,63.5,36.5,0,0,0.5,0.5,0.1,1,0.5,0.5,4,2,4.5,0,0,0,0,0,175,576.2,196.4,213.4,0,1,0,1,0.8,1.4,3.5,0.6,3,1500,3.7,1.5,1,9,0,0.5,4,0,16,4.7,49.5,11.1,26.7,6,53.5,0,0,0,0,1,2,2,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,11446,12,"100%",11446,NA,"",NA,NA,"",NA,21,"100%",11446,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,16,"100%",11446,NA,"",NA,NA,"",NA,NA,"",NA,"95348",18.24,18.24,192,18.24
"495","95350
(37.67247015100048, -121.00650995899969)",6,"Stanislaus","Golden Empire & North San Joaquin",4.3,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0.3,0,1.5,0,0.2,0,0,0,0,0,0.2,0,0.3,1.7,0,0,0.2,0,2.2,0,0,1.2,0,0,1,0,2.2,22.2,6.3,55.1,16.3,0,0.2,0.3,0.5,12.8,0.3,1,0.5,1.8,3.2,2.7,8.8,9.7,10.3,28.8,2,5.7,3.1,81.2,0.2,0,1.2,16.7,25.7,33.2,27.2,0.3,0.8,0.5,1.7,258,1.8,0,3,13,0.5,12.5,11.2,4.7,4.2,5.8,14.7,0.8,0,-34805.8,144164.8,694561,608643,634765.8,240920.8,349626.8,934725.8,893549.3,661292,-0.8,0.5,8.6,7.5,7,5.7,5.4,7.1,5.4,3.5,3.7,114.5,39.7,0.5,0.5,0.3,1.3,89.2,13.7,37.7,0,28.8,4.3,66.7,11.7,13.7,50.5,16.4,7.9,69,31,0.5,0.5,0.3,1.3,0.1,1.2,1.5,1.3,4,4,3.5,0.5,0.2,0.7,1.3,1.9,192.6,589.1,310,242.9,0.8,0.8,0.5,2.2,0.6,26.6,0.6,0.5,3.2,17833.3,4,0,0.7,3.8,0,0,1.5,0,6,5.5,49.1,11.6,29.2,13.8,48,0,0,4,0,0,4,6,0,0,0,0,6,0,0,5,1,0,6,5,0,1,2,0,0,24990,5,"100%",24986,12,"0%",4,NA,"",NA,12,"63%",15735,21,"37%",9255,NA,"",NA,NA,"",NA,NA,"",NA,10,"100%",24990,NA,"",NA,NA,"",NA,NA,"",NA,"95350",74.196,74.196,687,74.196
"496","95355
(37.670862499000464, -120.95174985499972)",3,"Stanislaus","Golden Empire & North San Joaquin",4,0,0,0,0,1,0,0,1.3,0,2.3,0,0.3,2.3,0,0,2.3,0,5,0.7,0,0.7,0,0,0.3,0,1.7,0,2,2,0,0,0.7,0,4.7,0,0.3,0.3,0,0,0.3,0,1,21.9,8.1,53.7,16.3,0.7,0,0.3,1,15.6,0.3,0.7,1,2,7.7,2.3,10.7,19.7,18.3,48.7,3.3,5.4,4.6,71,0,0.3,7,16.3,18.7,20.3,19.3,0.3,1.7,0.7,2.7,215.6,5,0,7.6,15,5,13.5,4,7.7,9.3,10.3,27.3,0.8,0.3,135611.7,129072,658057,384469,240159.3,-72264,406542,153811.7,277777,294100,1.5,-0.1,7.7,1.9,2.1,-0.1,5.3,0.9,2.2,2.2,2.3,137.7,42.3,0.3,0.7,1.3,2.3,85.3,17.7,25,8.6,26.9,5.7,81.9,7.4,8.8,46.6,12.3,2,56,44,0.3,1.3,1.7,3.3,0,1,4,2.3,4,7.3,2,0,0.3,0,0.3,10.6,169.5,570.7,449.7,301.5,0,1.7,0.7,2.3,1.7,14.7,0.8,0.4,2,13000,3.5,0.7,2.7,6.3,0,0,5,0,14.7,4.3,47.9,11.2,27.8,22,48,0,0,1,0,0,3,3,0,0,0,0,3,1,0,3,0,0,3,2,0,0,0,0,0,28418,5,"100%",28418,NA,"",NA,NA,"",NA,12,"87.4%",24832,21,"12.6%",3586,NA,"",NA,NA,"",NA,NA,"",NA,10,"100%",28418,NA,"",NA,NA,"",NA,NA,"",NA,"95355",60.7257,60.7257,413.1,60.7257
"497","95356
(37.700860417000456, -121.02346851699969)",1,"Stanislaus","Golden Empire & North San Joaquin",5,0,0,0,0,13,0,0,0,0,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,3,0,3,0,0,0,0,6,20.7,11.5,57.4,10.4,0,0,0,0,18.4,1,0,0,1,3,2.3,13,6,7,26,15,5.4,2.8,58,0,0,0,2,16,23,22,0,0,0,0,312.6,0,0,8.2,24,0,5.8,8.7,10,6,5,21,0.7,0,-388877,-373286,-113345,419943,816501,1342581,1710701,2422027,2012083,1406845,-6.5,-6,-1.7,5.3,8.9,13.4,15.5,19.4,15.8,11.6,5,99,63.1,0,0,1,1,94,24,31,0,17.6,1.1,51.8,23.1,22.4,46.2,35.2,2.7,69,31,1,0,0,1,NA,1,0,1,5,2,5,0,0,0,0,0,198.9,635.3,403.8,279.2,0,0,0,0,0.6,11.2,0,0.9,4,0,3.8,3,2,17,0,0,1,0,23,1.9,51.3,11.9,32.5,18,51,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,15436,5,"100%",15436,NA,"",NA,NA,"",NA,12,"100%",15436,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,10,"100%",15436,NA,"",NA,NA,"",NA,NA,"",NA,"95356",5.94,5.94,99,5.94
