"","nursing.zippop","nursing.just_zip"
"567",3899,"95988"
"568",14763,"95991"
"569",18558,"96001"
"570",16725,"96002"
"571",24095,"96003"
"572",11130,"96007"
"573",1586,"96020"
"574",781,"96028"
"575",14728,"96080"
"576",2511,"96093"
"577",3663,"96094"
"578",3147,"96101"
"579",467,"96104"
"580",977,"96118"
"581",2113,"96122"
"582",7664,"96130"
"583",13624,"96150"
"584",9126,"96161"
